Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,G1_V1_time_First Click,G1_V1_time_Last Click,G1_V1_time_Page Submit,G1_V1_time_Click Count,G1_V1_r,G1_V2_time_First Click,G1_V2_time_Last Click,G1_V2_time_Page Submit,G1_V2_time_Click Count,G1_V2_r,G1_V3_time_First Click,G1_V3_time_Last Click,G1_V3_time_Page Submit,G1_V3_time_Click Count,G1_V3_r,G1_V4_time_First Click,G1_V4_time_Last Click,G1_V4_time_Page Submit,G1_V4_time_Click Count,G1_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
1,100,91,TRUE,EN,Improving,city,2.537,2.537,3.157,1,Improving,1.493,1.493,2.069,1,Declining,3.925,3.925,5.02,1,Declining,2.031,2.031,2.902,1,Improving,"murder is bad, vacation is good",Bachelor's degree in college (4-year),Male,NA,36,left
2,100,147,TRUE,EN,Improving,city,2.893,2.893,5.598,1,Improving,4.53,4.53,5.966,1,Declining,3.754,3.754,6.677,1,Declining,2.066,2.066,3.492,1,Improving,"I looked at whether the rate was rising or declining and answered accordingly depending on the situation (murders, vacation days)",Some college but no degree,Female,NA,53,left
3,100,149,TRUE,EN,Improving,city,4.584,4.584,5.768,1,Improving,12.159,12.159,13.103,1,Declining,5.685,5.685,6.382,1,Declining,3.672,3.672,4.353,1,Improving,I went with the situation was improving if the stats were more favorable and declining if they werent. ,Bachelor's degree in college (4-year),Male,NA,27,right
4,100,98,TRUE,EN,Declining,city,2.678,2.678,4.315,1,Improving,2.947,2.947,5.393,1,Declining,3.167,3.167,4.253,1,Declining,2.542,2.542,5.14,1,Improving,I looked at the situation and the numbers. More murders is a decline where more vacation day is an improvement.,Some college but no degree,Male,NA,36,left
5,100,169,TRUE,EN,Improving,city,1.748,2.819,4.602,2,Improving,2.982,2.982,3.68,1,Declining,0.799,1.985,2.895,2,Improving,1.005,2.395,3.375,2,Declining,"the line movement
the years",Bachelor's degree in college (4-year),Male,NA,50,left
6,100,77,TRUE,EN,Improving,city,3.292,4.132,4.595,3,Improving,1.896,1.896,2.32,1,Declining,4.069,4.069,5.064,1,Declining,1.647,1.647,2.118,1,Improving,I was thinking about whether the thing represented in the graph was good or bad.,Bachelor's degree in college (4-year),Female,NA,29,left
7,100,168,TRUE,EN,Improving,city,1.517,1.877,2.597,2,Improving,2.397,2.397,3.133,1,Declining,4.12,4.12,5.218,1,Declining,1.937,1.937,2.881,1,Improving,I was simply just looking at the graph and the contents of the graph.,Bachelor's degree in college (4-year),Male,NA,29,left
8,100,296,TRUE,EN,Improving,city,7.693,7.693,8.777,1,Improving,5.035,5.035,5.968,1,Declining,6.293,6.293,7.205,1,Declining,2.871,2.871,4.289,1,Improving,Whether or not a decline or increase can be considered an improvement based on the question.  A graph showing a decline is an improvement if it shows the number of murders etc.,Bachelor's degree in college (4-year),Male,NA,51,left
9,100,211,TRUE,EN,Improving,city,4.828,4.828,7.814,1,Improving,1.725,1.725,4.35,1,Declining,1.444,1.444,3.004,1,Improving,2.246,2.246,4.812,1,Declining,"I looked at the incline of the line graph and made my decision, I also paid attention to the presence of any major 'bumps' in the line graph.",Master's degree,Male,NA,33,left
10,100,210,TRUE,EN,Declining,city,5.023,5.023,6.264,1,Improving,4.703,4.703,9.277,1,Declining,4.453,4.453,5.806,1,Declining,5.254,5.254,6.251,1,Improving,"The cars one was declining because of the environment. Murders down is good, vacation days up good, down bad. Logical judgments, I would say. ",Some college but no degree,Female,NA,56,left
