Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,G6_V1_time_First Click,G6_V1_time_Last Click,G6_V1_time_Page Submit,G6_V1_time_Click Count,G6_V1_r,G6_V2_time_First Click,G6_V2_time_Last Click,G6_V2_time_Page Submit,G6_V2_time_Click Count,G6_V2_r,G6_V3_time_First Click,G6_V3_time_Last Click,G6_V3_time_Page Submit,G6_V3_time_Click Count,G6_V3_r,G6_V4_time_First Click,G6_V4_time_Last Click,G6_V4_time_Page Submit,G6_V4_time_Click Count,G6_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
1,100,106,TRUE,EN,Declining,city,2.173,2.173,3.151,1,Declining,1.718,1.718,2.559,1,Improving,3.56,3.56,4.189,1,Declining,0.085,3.446,4.542,2,Declining,"The slope of the line, and the amounts of the graph it was measuring.",High school graduate (high school diploma or equivalent including GED),Female,NA,37,right
2,100,130,TRUE,EN,Improving,city,3.518,3.518,4.268,1,Improving,2.536,2.536,3.463,1,Declining,9.779,9.779,11.914,1,Declining,4.847,4.847,5.742,1,Improving,"Well, the direction of the chart and the given information. I don't see what's to ask here.",Bachelor's degree in college (4-year),Male,NA,36,left
3,100,217,TRUE,EN,Improving,city,11.614,11.614,15.465,1,Improving,8.352,8.352,9.47,1,Declining,5.177,9.504,10.009,2,Declining,7.515,7.515,11.897,1,Improving,"The graphs were counter-intuitive with numbers declining from left to right.  I carefully read the question and the data and made the decision as quickly as possible, but with still being able to understand the data.",Some college but no degree,Male,NA,45,right
4,100,200,TRUE,EN,Improving,city,4.033,4.033,5.009,1,Improving,9.199,9.199,10.599,1,Declining,3.726,4.589,5.408,2,Declining,6.197,6.197,7.204,1,Declining,just saw where the line landed if it was going higher or lower in number,Bachelor's degree in college (4-year),Female,NA,67,right
5,100,81,TRUE,EN,Improving,city,2.572,2.572,3.299,1,Improving,3.061,3.061,4.948,1,Declining,8.119,8.119,10.241,1,Declining,2.859,2.859,7.289,1,Declining,I thought about whether something was positive or not for the region.,Bachelor's degree in college (4-year),Male,NA,29,right
6,100,231,TRUE,EN,Declining,city,2.941,2.941,4.356,1,Declining,2.587,2.587,6.152,1,Improving,5.796,5.796,6.947,1,Declining,1.76,3.864,6.845,4,Improving,"For the first question, car traffic decreasing means either the city has very good transportation or its economy is dying, usually the latter. 
It was difficult to make sense of the graphs at first because they were line charts and sometimes flipped. I also don't think that is the best way to graphically express the information. Murders decreasing over time is a good thing and vacation days increasing over time is also a good thing.",Bachelor's degree in college (4-year),Female,NA,26,right
7,100,309,TRUE,EN,Declining,city,2.951,9.203,11.561,2,Improving,3.998,10.507,17.787,3,Declining,3.2,4.682,5.921,2,Declining,4.626,6.733,7.479,2,Improving,comparing 2015 to latest year,High school graduate (high school diploma or equivalent including GED),Male,NA,31,right
8,100,190,TRUE,EN,Declining,city,1.888,1.888,2.728,1,Declining,1.643,1.643,2.452,1,Improving,1.591,1.591,2.391,1,Improving,4.654,4.654,9.246,1,Declining,"I looked at what the graph was representing (vacation days/murders) and determined if that was a negative or positive thing. If the thing was negative and there was a decline, I said it was a good thing. If it was negative and there was an increase, I said it was a bad thing. If it was positive and it increased, I said that was good. If it was positive and it decreased, I said that was bad. ",Bachelor's degree in college (4-year),Female,NA,34,right
9,100,209,TRUE,EN,Declining,city,3.392,8.481,17.32,2,Improving,5.717,8.261,11.395,2,Declining,5.327,10.383,11.754,2,Declining,6.063,6.063,8.401,1,Improving,"fewer murders as time progresses = improvement
increased vacation as time progresses = improvement",Bachelor's degree in college (4-year),Male,NA,36,right
10,100,382,TRUE,EN,Improving,city,10.699,10.699,14.446,1,Declining,11.229,15.166,19.75,2,Declining,9.88,9.88,13.55,1,Declining,39.122,39.122,42.795,1,Improving,I looked at the numbers on the bottom to see if they were increasing or decreasing.  I looked at the years on the side to make sure they were going up.  I looked at the line.  The line appeared to be showing decline over time because the numbers on the bottom of the chart were declining,Doctoral degree,Female,NA,73,left
11,100,195,TRUE,EN,Improving,city,6.645,6.645,8.281,1,Declining,11.171,17.743,18.789,3,Declining,10.329,10.329,14.006,1,Declining,10.515,10.515,11.634,1,Declining,whether improving or declining fit the context of the question,Associate degree in college (2-year),Female,NA,45,left
12,100,161,TRUE,EN,Declining,city,5.675,5.675,7.266,1,Improving,7.948,8.195,8.932,2,Declining,6.635,6.635,8.538,1,Improving,7.664,12.46,13.9,2,Improving,I tried to just look at the earliest year and look at the data for it and look at the highest year and do the same. I compared the two and answered the question.,Some college but no degree,Male,NA,34,right
13,100,231,TRUE,EN,Declining,city,4.02,4.02,5.936,1,Declining,2.843,2.843,3.576,1,Declining,4.435,12.349,13.738,2,Improving,6.619,6.619,8.455,1,Improving,"I gauged whether the subject was good or bad. A decline in some things might be good, or sometimes bad.",Bachelor's degree in college (4-year),Male,NA,41,right
14,100,106,TRUE,EN,Declining,city,8.104,8.917,9.278,2,Improving,7.736,8.686,8.89,3,Declining,9.329,9.329,10.3,1,Declining,7.123,7.123,15.431,1,Improving,I consider what the axis of the graph represented and which direction the line was moving up or down.,Associate degree in college (2-year),Non-binary/third gender,NA,34,right
15,100,159,TRUE,EN,Improving,city,10.319,10.319,11.04,1,Improving,6.454,6.454,8.733,1,Declining,6.567,8.799,11.631,3,Improving,6.67,6.67,10.037,1,Declining,Whether the number was greater or larger in the past and present,High school graduate (high school diploma or equivalent including GED),Male,NA,47,right
