Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,G3_V1_time_First Click,G3_V1_time_Last Click,G3_V1_time_Page Submit,G3_V1_time_Click Count,G3_V1_r,G3_V2_time_First Click,G3_V2_time_Last Click,G3_V2_time_Page Submit,G3_V2_time_Click Count,G3_V2_r,G3_V3_time_First Click,G3_V3_time_Last Click,G3_V3_time_Page Submit,G3_V3_time_Click Count,G3_V3_r,G3_V4_time_First Click,G3_V4_time_Last Click,G3_V4_time_Page Submit,G3_V4_time_Click Count,G3_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
1,100,176,TRUE,EN,Declining,city,3.985,3.985,5.632,1,Declining,5.339,5.339,6.299,1,Improving,3.763,3.763,6.811,1,Improving,4.478,4.478,5.573,1,Declining,"I associated vacation days as positive, so an increase would be an improvement. I associated murders as negative, so an increase would be a decline. ",Bachelor's degree in college (4-year),Male,NA,24,right
2,100,135,TRUE,EN,Declining,city,12.409,12.409,13.578,1,Improving,4.346,4.346,6.37,1,Declining,2.925,2.925,5.941,1,Declining,4.413,4.413,6.82,1,Improving,"a rise in murders in a city is always bad, a rise in vacation days i think is a good thing. ",Bachelor's degree in college (4-year),Male,NA,35,right
3,100,175,TRUE,EN,Declining,city,2.71,3.36,4.397,2,Improving,9.893,10.482,11.371,2,Declining,2.786,4.077,4.732,2,Declining,4.657,5.826,6.847,2,Improving,I just used logic. If the amount of murders are going up in a city than I would imagine that things are declining in that particular place. If people are being given more vacation time I would imagine that their lives and situations are probably improving.,Bachelor's degree in college (4-year),Male,NA,33,right
4,100,248,TRUE,EN,Declining,city,5.421,6.291,7.54,2,Improving,13.447,14.473,17.739,2,Declining,7.932,14.301,14.97,2,Declining,5.636,6.437,7.084,2,Declining,I looked on the axis to see if the numbers were going up or down and then read the title of if it was a good thing or a bad thing and then saw the trend line to mark one of the boxes.,Bachelor's degree in college (4-year),Female,NA,60,right
5,100,138,TRUE,EN,Improving,city,7.619,7.619,8.547,1,Declining,4.612,5.17,5.806,3,Improving,2.108,2.108,3.886,1,Improving,3.297,5.42,6.128,5,Declining,"If the rate of something was going up or down over time and if that ""something"" was a negative or positive aspect.",Bachelor's degree in college (4-year),Male,NA,34,right
6,100,337,TRUE,EN,Declining,city,3.424,3.424,4.374,1,Declining,2.269,2.269,2.987,1,Improving,2.875,2.875,3.632,1,Declining,1.861,1.861,2.656,1,Improving,"I made my judgments based on evaluating each graph visually, whether the line was going up down or stayed the same throughout the years.",Associate degree in college (2-year),Male,NA,47,right
7,100,94,TRUE,EN,Neither declining or improving,city,4.299,4.299,4.953,1,Improving,2.749,2.749,3.406,1,Declining,2.361,4.083,5.418,2,Declining,2.873,2.873,4.994,1,Improving,"I looked at the y-axis and decided if things were improving or not, for example, the number of murders was increasing, so that was a declining city. ",Associate degree in college (2-year),Male,NA,32,right
8,100,393,TRUE,EN,Declining,city,4.99,4.99,7.292,1,Improving,3.511,3.511,9.38,1,Declining,4.249,7.731,8.195,2,Declining,3.811,3.811,5.608,1,Improving,"I made my decision based on whether the situation was an improvement that benefited the city or whether the conditions constituted a detriment to the city. For example, an increase in murders over time would be a detrimental situation which I would say was a ""declining"" trend for the city.","Professional degree (JD, MD)",Male,NA,52,right
9,100,135,TRUE,EN,Improving,city,3.269,3.269,5.207,1,Improving,2.704,2.704,3.845,1,Declining,3.014,11.938,12.755,4,Declining,6.674,6.674,9.872,1,Declining,I looked to the left to see if the numbers were increasing or decreasing first. Then I looked at everything else.,Associate degree in college (2-year),Female,NA,32,right
10,100,404,TRUE,EN,Improving,city,3.217,3.217,4.574,1,Improving,5.792,5.792,6.861,1,Declining,11.779,11.779,12.833,1,Declining,11.982,11.982,25.092,1,Improving,i looked at the chart then figured out the answer,High school graduate (high school diploma or equivalent including GED),Female,NA,49,right
11,100,390,TRUE,EN,Declining,city,2.032,2.032,3.723,1,Declining,7.647,7.647,9.001,1,Improving,1.39,1.39,4.766,1,Declining,3.502,3.502,8.619,1,Declining,I looked and saw that the murders were increasing so I decided to say that the situation in the city was declining.,High school graduate (high school diploma or equivalent including GED),Female,NA,41,right
12,100,102,TRUE,EN,Declining,city,3.294,3.294,4.343,1,Declining,2.045,2.045,3.996,1,Improving,1.732,2.666,3.063,2,Declining,1.203,2.991,3.27,3,Improving,I made my decisions by observing if the line on the graph was trending upwards or downwards.,Associate degree in college (2-year),Non-binary/third gender,NA,33,right
13,100,128,TRUE,EN,Declining,cities,0.891,1.692,2.41,2,Declining,1.251,1.251,2.991,1,Improving,1.172,1.172,2.141,1,Declining,2.43,2.43,4.412,1,Improving,I tried to pay my full attention to given graphs and read them carefully. I hope I gave correct answers to all of them. ,Master's degree,Female,NA,42,right
14,100,999,TRUE,EN,Declining,city,3.103,3.103,3.829,1,Improving,3.815,4.735,5.046,2,Declining,1.977,9.929,17.247,2,Declining,2.382,2.382,4.532,1,Improving,"I made my decisions based primarily on whether I though the increasing/decreasing trends were positive or negative. For example, a lower murder rate is something that I would consider being positive in all cases.",High school graduate (high school diploma or equivalent including GED),Male,NA,28,right
15,100,168,TRUE,EN,Improving,city,2.024,3.839,4.752,4,Declining,1.172,2.804,4.922,2,Improving,0.9,1.596,2.263,2,Improving,2.368,2.894,3.748,2,Declining,If was a bad thing declining then the situation was improving and vice versa,Bachelor's degree in college (4-year),Female,NA,37,right
