Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,G5_V1_time_First Click,G5_V1_time_Last Click,G5_V1_time_Page Submit,G5_V1_time_Click Count,G5_V1_r,G5_V2_time_First Click,G5_V2_time_Last Click,G5_V2_time_Page Submit,G5_V2_time_Click Count,G5_V2_r,G5_V3_time_First Click,G5_V3_time_Last Click,G5_V3_time_Page Submit,G5_V3_time_Click Count,G5_V3_r,G5_V4_time_First Click,G5_V4_time_Last Click,G5_V4_time_Page Submit,G5_V4_time_Click Count,G5_V4_r,Open,Ed,Gender,Gender_5_TEXT,Age,Handed
1,100,97,TRUE,EN,Declining,city,2.446,4.133,5.804,2,Declining,1.801,2.177,3.02,2,Improving,1.555,2.777,3.427,2,Improving,2.103,2.103,2.949,1,Declining,What the graph was measure and whether it was going up or down.,Some college but no degree,Male,NA,31,right
2,100,90,TRUE,EN,Declining,city,0,0,4.638,0,Declining,0,0,4.384,0,Improving,0,0,2.447,0,Improving,0,0,5.011,0,Declining,I relied on my intuition.,High school graduate (high school diploma or equivalent including GED),Male,NA,36,right
3,100,100,TRUE,EN,Declining,city,3.126,3.126,4.348,1,Declining,1.565,1.565,2.611,1,Improving,2.283,2.283,4.244,1,Improving,3.728,3.728,4.326,1,Declining,"Murders are obviously bad.  I think increased vacation days are a good thing, as it means you have more free time and are happier.",Some college but no degree,Male,NA,32,right
4,100,94,TRUE,EN,Declining,city,2.005,2.005,3.371,1,Declining,3.581,3.581,4.422,1,Improving,1.639,1.639,3.014,1,Improving,1.365,1.365,3.456,1,Declining,na,Bachelor's degree in college (4-year),Female,NA,34,right
5,100,173,TRUE,EN,Declining,city,3.295,3.295,5.529,1,Declining,4.095,4.095,8.056,1,Improving,1.539,1.539,3.085,1,Improving,2.536,2.996,5.192,2,Declining,Is the subject a good enforcement or a bad one and how it makes me people feel unsafe and leave the city.,Associate degree in college (2-year),Male,NA,28,right
6,100,127,TRUE,EN,Declining,cities,3.136,3.136,4.33,1,Declining,1.768,3.11,3.631,2,Improving,1.817,5.664,6.56,4,Improving,3.292,3.292,4.759,1,Declining,If a negative trait was increasing the city was in decline conversely if a negative trait was decreasing the city was getting better.,Doctoral degree,Male,NA,30,right
7,100,72,TRUE,EN,Declining,city,1.462,1.462,5.476,1,Declining,0.775,1.459,2.789,3,Improving,2.039,3.066,3.304,4,Declining,5.82,5.82,6.376,1,Improving,graphs,Some college but no degree,Male,NA,26,right
8,100,113,TRUE,EN,Declining,city,1.942,1.942,3.303,1,Declining,3.444,3.444,5.464,1,Improving,2.279,2.279,3.536,1,Declining,1.789,1.789,2.715,1,Improving,I just considered the way that the graph was going.,Bachelor's degree in college (4-year),Female,NA,34,right
9,100,303,TRUE,EN,Declining,city,4.074,12.643,15.284,3,Improving,4.412,4.412,6.097,1,Declining,5.2,5.2,6.595,1,Declining,6.093,6.093,8.473,1,Improving,"The positions of the graphs. Where the years going from left to right, or from right to left?",Some college but no degree,Male,NA,30,right
10,100,143,TRUE,EN,Declining,city,4.387,4.387,6.047,1,Declining,3.268,3.268,4.248,1,Improving,3.643,3.643,5.404,1,Improving,4.462,4.462,5.62,1,Declining,"I looked at what the chart was measuring and whether it was a good thing or a bad thing.  Then, I look at whether the item was rising or falling.  From there, I could evaluate.  I valued accuracy over speed, but tried to be as fast as i could while still being accurate.","Professional degree (JD, MD)",Male,NA,47,left
11,100,218,TRUE,EN,Declining,city,8.988,8.988,9.638,1,Improving,5.451,5.451,10.866,1,Declining,5.044,5.044,9.782,1,Declining,3.36,3.36,4.042,1,Improving,I made my decisions based on the labels of each axis and the type of of data being displayed in relation to the graph.,Associate degree in college (2-year),Female,NA,37,right
