Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,V1_FirstClick,V1_LastClick,V1_PageSubmit,V1_ClickCount,V1_r,V1_c,V2_FirstClick,V2_LastClick,V2_PageSubmit,V2_ClickCount,V2_r,V2_c,V3_FirstClick,V3_LastClick,V3_PageSubmit,V3_ClickCount,V3_r,V3_c,V4_FirstClick,V4_LastClick,V4_PageSubmit,V4ClickCount,V4_r,V4_c,Open,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,GL11,GL12,GL13,Ed,Gender,Gender_5_TEXT,Age
1,100,232,TRUE,EN,Improving,quickly,1.43,1.43,2.451,1,Improving,5 (very confident),1.753,1.753,2.293,1,Declining,5 (very confident),1.907,1.907,2.831,1,Declining,5 (very confident),3.424,3.424,4.261,1,Improving,5 (very confident),"I looked at the situation and how increasing or decreasing the nu,ber effected it",35,10,25,10,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,31
2,100,218,TRUE,EN,Improving,quickly,2.614,2.614,4.416,1,Improving,5 (very confident),2.893,2.893,5.433,1,Declining,5 (very confident),1.594,1.594,2.348,1,Improving,5 (very confident),2.755,2.755,3.561,1,Declining,5 (very confident),the graph,35,10,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Female,NA,39
3,100,350,TRUE,EN,Improving,quickly,2.508,2.508,3.221,1,Improving,5 (very confident),5.858,5.858,6.716,1,Declining,5 (very confident),2.712,5.706,9.552,2,Declining,5 (very confident),2.428,2.428,3.176,1,Improving,5 (very confident),"I looked at the ordinate axis to see what variable was being measures, then checked the abscissa to confirm that this axis was measuring time, and then I decided if what the variable was doing over time was good or bad, in other words, improving or declining. Murders are bad. Vacation days are good. And so on.",35,5,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Coliosis,5,Master's degree,Male,NA,41
4,100,374,TRUE,EN,Improving,quickly,2.519,2.519,3.329,1,Improving,5 (very confident),4.401,4.401,6.454,1,Declining,5 (very confident),2.743,2.743,4.963,1,Declining,5 (very confident),3.573,3.573,6.181,1,Declining,5 (very confident),"I looked at the graph, it was pretty easy to read, going up or down",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Female,NA,48
5,100,401,TRUE,EN,Improving,quickly,1.442,1.442,2.583,1,Improving,5 (very confident),0.9,0.9,2.315,1,Declining,5 (very confident),1.544,1.544,3.175,1,Improving,5 (very confident),4.099,4.099,5.245,1,Declining,5 (very confident),"Line goes from down to up it means improving. 
Line goes up to down it means declining",35,15,25,25,20,From 2000 to 2005,25,40,60,Hertinol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,27
6,100,249,TRUE,EN,NA,quickly,2.127,2.127,3.135,1,Improving,5 (very confident),2.603,2.603,3.423,1,Declining,5 (very confident),4.739,4.739,5.773,1,Declining,5 (very confident),1.566,1.566,3.146,1,Improving,5 (very confident),"I looked at the trend and associated that with whether the trend indicated a negative or positive consequence, then answered based on that.",35,10,25,25,20,From 2000 to 2005,25,40,10,Crosicol,Nopsorian,Tiosis,5,Some college but no degree,Male,NA,52
7,100,364,TRUE,EN,Improving,quickly,4.38,4.38,5.064,1,Improving,2,3.724,3.724,5.064,1,Declining,2,2.209,2.209,3,1,Declining,3,2.516,2.516,3.766,1,Improving,3,What the scale was for and how the graph was changing ,35,15,25,15,20,From 1975 to 1980,27,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,29
8,100,286,TRUE,EN,Improving,quickly,4.297,4.297,4.477,1,Improving,5 (very confident),2.525,2.525,2.831,1,Declining,5 (very confident),8.564,13.627,14.082,2,Improving,4,4.315,4.315,4.959,1,Declining,5 (very confident),"If the line was trending upwards I clicked improving, if it was trending downwards I clicked declining.",35,15,25,25,20,From 2000 to 2005,25,40,10,They are equal,Nopsorian,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Male,NA,36
9,100,199,TRUE,EN,Improving,quickly,3.234,3.234,3.844,1,Improving,5 (very confident),2.725,2.725,3.533,1,Declining,5 (very confident),3.485,3.485,4.296,1,Declining,5 (very confident),3.931,3.931,5.258,1,Improving,5 (very confident),murder is bad,35,10,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,36
10,100,476,TRUE,EN,Improving,quickly,5.021,5.021,6.439,1,Improving,5 (very confident),2.573,2.573,4.439,1,Declining,5 (very confident),3.056,8.344,11.291,2,Declining,4,2.138,2.138,7.372,1,Improving,5 (very confident),I looked at the graph and what question was being asked like if there were more murders being committed that would mean the situation is declining there,35,15,25,25,20,Increase was the same in both intervals,25,40,60,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,31
