Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,V1_FirstClick,V1_LastClick,V1_PageSubmit,V1_ClickCount,V1_r,V1_c,V2_FirstClick,V2_LastClick,V2_PageSubmit,V2_ClickCount,V2_r,V2_c,V3_FirstClick,V3_LastClick,V3_PageSubmit,V3_ClickCount,V3_r,V3_c,V4_FirstClick,V4_LastClick,V4_PageSubmit,V4ClickCount,V4_r,V4_c,Open,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,GL11,GL12,GL13,Ed,Gender,Gender_5_TEXT,Age
151,100,304,TRUE,EN,NA,quickly,3.925,3.925,4.855,1,Improving,4,4.35,4.35,5.126,1,Declining,5 (very confident),8.033,8.033,9.382,1,Declining,5 (very confident),5.433,5.433,6.152,1,Improving,5 (very confident),I looked at the first year and the subsequent and I also made sure to look at the bottom of the graph to see if numbers were going up or down.,35,15,25,25,20,Increase was the same in both intervals,23,40,10,Hertinol,Nopsorian,Tiosis,5,Some college but no degree,Female,NA,39
152,100,349,TRUE,EN,Improving,quickly,3.008,3.008,4.483,1,Improving,5 (very confident),4.653,4.653,5.382,1,Declining,5 (very confident),3.01,3.01,7.816,1,Improving,4,4.419,8.317,8.584,3,Declining,5 (very confident),I looked at the years and whether or not the metric was increasing or decreasing compared to time.,35,15,25,25,20,Increase was the same in both intervals,25,40,60,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,28
153,100,452,TRUE,EN,Improving,quickly,4.307,4.718,6.123,2,Improving,5 (very confident),4.391,4.391,4.931,1,Declining,4,2.916,2.916,5.032,1,Declining,5 (very confident),4.501,4.501,7.902,1,Improving,5 (very confident),I look at what the graph was trending and then if it was improving over time or not.,35,10,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,37
154,100,480,TRUE,EN,Declining,quickly,4.764,4.764,5.457,1,Improving,5 (very confident),2.537,2.537,3.159,1,Declining,5 (very confident),2.002,2.002,2.607,1,Declining,5 (very confident),4.454,4.454,5.301,1,Improving,4,By reading the graph...,35,5,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,36
155,100,251,TRUE,EN,Improving,quickly,1.429,1.429,3.098,1,Declining,3,2.197,2.757,3.362,2,Declining,5 (very confident),2.411,2.411,3.108,1,Improving,5 (very confident),4.65,5.21,5.439,2,Declining,4,just how the line went with the years,35,15,25,25,20,Don’t know,25,40,60,They are equal,Nopsorian,Tiosis,5,Associate degree in college (2-year),Female,NA,34
156,100,430,TRUE,EN,NA,quickly,5.424,5.424,9.959,1,Improving,5 (very confident),6.826,6.826,7.997,1,Declining,5 (very confident),15.83,15.83,16.837,1,Declining,3,7.837,9.924,14.027,2,Declining,5 (very confident),"What do you mean by declining?
What do you mean by improving?
DId the number go up or down?",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,66
157,100,383,TRUE,EN,NA,quickly,4.218,12.721,24.917,2,Improving,4,5.936,13.929,15.134,2,Declining,4,13.344,13.344,14.689,1,Declining,4,7.574,8.794,9.656,2,Improving,4,the situation and what would be considered declining or improving in context.,35,15,25,25,20,From 2000 to 2005,24,40,20,Crosicol,Nopsorian,Tiosis,50,Associate degree in college (2-year),Female,NA,45
158,100,428,TRUE,EN,Improving,quickly,5.399,5.399,7.683,1,Improving,5 (very confident),5.401,5.401,7.162,1,Declining,5 (very confident),4.569,4.569,6.361,1,Declining,5 (very confident),7.374,7.374,10.091,1,Improving,5 (very confident),"I considered the change with time. More vacation days, more cars, and fewer murders would be positive.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Can’t say,Tiosis,5,Doctoral degree,Female,NA,60
159,100,334,TRUE,EN,Declining,quickly,7.144,18.819,19.914,3,Improving,4,5.743,7.186,7.595,2,Declining,5 (very confident),2.601,11.263,12.463,2,Declining,3,7.796,10.047,10.787,2,Improving,4,if a situation was improving or worsening,35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Coliosis,5,High school graduate (high school diploma or equivalent including GED),Male,NA,30
160,100,522,TRUE,EN,Improving,quickly,4.069,4.069,13.937,1,Improving,5 (very confident),7.295,7.295,8.65,1,Declining,5 (very confident),3.938,3.938,6.244,1,Improving,5 (very confident),6.456,6.456,9.727,1,Improving,5 (very confident),"Graph line
X axis and Y axis data
Title
",35,15,25,25,20,From 2000 to 2005,25,40,20,Crosicol,Nopsorian,Coliosis,5,Master's degree,Male,NA,37
