Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,V1_FirstClick,V1_LastClick,V1_PageSubmit,V1_ClickCount,V1_r,V1_c,V2_FirstClick,V2_LastClick,V2_PageSubmit,V2_ClickCount,V2_r,V2_c,V3_FirstClick,V3_LastClick,V3_PageSubmit,V3_ClickCount,V3_r,V3_c,V4_FirstClick,V4_LastClick,V4_PageSubmit,V4ClickCount,V4_r,V4_c,Open,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,GL11,GL12,GL13,Ed,Gender,Gender_5_TEXT,Age
201,100,190,TRUE,EN,Declining,quickly,0,0,1.648,0,Improving,3,3.636,3.636,4.896,1,Declining,3,2.906,2.906,4.026,1,Improving,4,2.059,2.059,4.304,1,Improving,4,good,35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,25
202,100,298,TRUE,EN,Declining,quickly,0,0,1.69,0,Declining,5 (very confident),1.213,1.213,2.353,1,Improving,5 (very confident),0.999,0.999,1.564,1,Declining,5 (very confident),0.623,0.623,1.33,1,Improving,5 (very confident),I just observed the slope of the line over time.,35,5,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Some college but no degree,Female,NA,24
203,100,412,TRUE,EN,Declining,quickly,0,0,1.988,0,Declining,5 (very confident),2.77,2.77,4.495,1,Improving,5 (very confident),4.28,4.28,6.615,1,Declining,5 (very confident),1.487,1.487,4.868,1,Improving,5 (very confident),"If the line went up, I would choose ""improving"" and vice versa.",35,5,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,They are equal,Coliosis,5,Bachelor's degree in college (4-year),Male,NA,31
204,100,445,TRUE,EN,Neither declining or improving,quickly,0,0,2.035,0,Declining,5 (very confident),2.969,2.969,7.763,1,Improving,5 (very confident),5.685,5.685,8.263,1,Improving,5 (very confident),2.128,2.128,3.547,1,Declining,5 (very confident),Vacations are good.  Murders are bad.,35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Some college but no degree,Female,NA,35
205,100,387,TRUE,EN,NA,quickly,2.81,2.81,3.572,1,Improving,4,6.078,6.078,7.444,1,Declining,4,4.657,4.657,6.109,1,Declining,5 (very confident),6.3,6.3,7.972,1,Improving,4,"Well, the X scale seemed backwards from what one would normally expect, so I made sure I was reading it right at first, though still tried to act quickly. I thought murders going up was a declining situation and going down was improving. I thought number of vacay days going up was an improvement over time and going down was bad...",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Can’t say,Can’t say,Can’t say,5,Bachelor's degree in college (4-year),Male,NA,32
206,100,278,TRUE,EN,Declining,quickly,0,0,1.448,0,Declining,5 (very confident),2,5.831,7.871,2,Declining,5 (very confident),5.469,5.469,6.295,1,Improving,5 (very confident),2.861,2.861,3.674,1,Declining,5 (very confident),The graphs.,35,15,25,25,20,Increase was the same in both intervals,30,40,20,Hertinol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,27
207,100,452,TRUE,EN,Declining,quickly,29.465,29.465,30.483,1,Declining,5 (very confident),5.117,5.117,5.894,1,Declining,5 (very confident),3.341,3.341,4.802,1,Declining,5 (very confident),2.974,5.888,6.911,3,Improving,5 (very confident),"I checked the Y-axis variable to see if more would be good or bad, then checked the X-axis to see if time was going left to right or right to left.",35,15,25,25,20,From 1975 to 1980,24,40,20,They are equal,Nopsorian,Tiosis,5,Some college but no degree,Male,NA,32
208,100,328,TRUE,EN,Declining,quickly,0,0,1.495,0,Declining,5 (very confident),4.865,4.865,7.4,1,Improving,5 (very confident),1.065,1.065,2.397,1,Declining,5 (very confident),1.583,1.583,2.97,1,Improving,5 (very confident),I looked a the angle of the line and clicked the correct response.,35,15,25,25,20,From 2000 to 2005,25,40,20,Crosicol,Can’t say,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Male,NA,49
209,100,1026,TRUE,EN,Improving,quickly,0,0,0.683,0,Improving,5 (very confident),2.866,2.866,6.252,1,Declining,5 (very confident),2.358,2.358,4.786,1,Declining,5 (very confident),4.946,4.946,5.925,1,Improving,5 (very confident),"I took notice of positive situations (like vacation days) and if they increased over time, I said that was ""improving"". If, however, a measurement of a negative thing (like murders) was going up over the years, I would say that was ""declining"". I based this on a trend from year 2015 to 2018.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,34
210,100,252,TRUE,EN,Declining,quickly,0.638,0.638,0.986,1,Neither declining or improving,2,1.227,1.227,2.166,1,Improving,3,1.913,1.913,3.633,1,Improving,5 (very confident),5.214,5.214,6.588,1,Declining,4,"I looked at what the graph was measuring to determine whether the situation was improving or declining, as well as how much it was.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Master's degree,Female,NA,31
