Subject,Progress,DurationSec,Finished,UserLanguage,Instructions,Trick,V1_FirstClick,V1_LastClick,V1_PageSubmit,V1_ClickCount,V1_r,V1_c,V2_FirstClick,V2_LastClick,V2_PageSubmit,V2_ClickCount,V2_r,V2_c,V3_FirstClick,V3_LastClick,V3_PageSubmit,V3_ClickCount,V3_r,V3_c,V4_FirstClick,V4_LastClick,V4_PageSubmit,V4ClickCount,V4_r,V4_c,Open,GL1,GL2,GL3,GL4,GL5,GL6,GL7,GL8,GL9,GL10,GL11,GL12,GL13,Ed,Gender,Gender_5_TEXT,Age
101,100,250,TRUE,EN,Declining,quickly,2.374,2.374,3.446,1,Improving,5 (very confident),3.678,3.678,6.079,1,Declining,4,3.283,3.888,4.644,2,Declining,5 (very confident),3.734,3.734,4.323,1,Improving,5 (very confident),"I checked the scales on each side of the graph to see if the situation was going up or going down, and whether up or down would be an improvement in this situation.",35,15,25,25,20,Increase was the same in both intervals,24,40,20,Crosicol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,42
102,100,225,TRUE,EN,Declining,quickly,2.029,2.869,3.84,2,Declining,5 (very confident),1.28,4.748,5.4,3,Improving,5 (very confident),1.468,3.631,3.99,4,Improving,5 (very confident),3.216,4.211,6.876,2,Declining,5 (very confident),Whether the graphs was going up and down and whether going up or down was the positive/desired result,35,5,25,25,20,Increase was the same in both intervals,24,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,42
103,100,254,TRUE,EN,Declining,quickly,1.675,1.675,2.674,1,Declining,5 (very confident),2.179,2.179,3.509,1,Improving,4,1.022,1.022,1.926,1,Declining,5 (very confident),1.665,1.665,2.757,1,Improving,5 (very confident),I considered the slope of the graph to see if it was rising or falling,35,15,25,25,20,From 2000 to 2005,25,36,64,Crosicol,They are equal,Tiosis,5,Some college but no degree,Female,NA,37
104,100,294,TRUE,EN,Declining,quickly,0,0,2.194,0,Declining,4,2.117,2.117,3.282,1,Improving,4,0,0,2.316,0,Improving,4,0,0,5.142,0,Declining,4,"Generally, those indicators that seemed generally positive (like increased vacation days over time) were associated with generally positive trends, while the inverse was also true.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Some college but no degree,Male,NA,35
105,100,232,TRUE,EN,Declining,quickly,2.391,2.391,3.218,1,Declining,5 (very confident),2.843,2.843,3.359,1,Improving,5 (very confident),2.175,2.175,2.881,1,Improving,5 (very confident),4.005,4.005,4.564,1,Declining,5 (very confident),"If murder is going up it's bad, if vacation days are going up it's good. and vice versa",35,15,25,25,20,Increase was the same in both intervals,23,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,27
106,100,223,TRUE,EN,Declining,quickly,1.408,1.408,2.23,1,Declining,3,1.298,1.298,3.246,1,Improving,3,1.713,1.713,2.363,1,Declining,3,1.148,3.169,4.384,2,Declining,2,i was thinking of the positives and negatives,35,15,25,25,20,Increase was the same in both intervals,25,40,60,Crosicol,Nopsorian,Tiosis,5,Associate degree in college (2-year),Male,NA,29
107,100,355,TRUE,EN,Improving,quickly,5.654,5.654,6.477,1,Improving,5 (very confident),3.924,3.924,5.124,1,Declining,5 (very confident),2.852,2.852,3.651,1,Declining,5 (very confident),4.413,4.413,8.822,1,Improving,5 (very confident),The years of the dates.  The number of times something happened.  Whether it was going up or down.  What the judgement was about like murders or vacation days.,35,15,25,25,20,Increase was the same in both intervals,24,40,20,They are equal,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,43
108,100,348,TRUE,EN,Improving,quickly,6.13,6.972,8.512,2,Improving,4,8.748,8.748,9.633,1,Declining,4,6.081,6.081,7.528,1,Declining,4,4.96,4.96,6.148,1,Declining,5 (very confident),Trying to be quick and accurate was a tad difficult because of how the graph was set up made answering possibly misleading. Specifically on the Y-axis,35,5,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Some college but no degree,Male,NA,34
109,100,230,TRUE,EN,Declining,quickly,2.038,2.038,2.756,1,Declining,5 (very confident),1.585,1.585,2.633,1,Improving,5 (very confident),1.033,1.033,1.696,1,Declining,5 (very confident),0.961,0.961,1.95,1,Improving,5 (very confident),I was just looking at which direction the line was going and tried to answer as quickly as possible. I made sure to read the descriptions that were options as answers because the locations kept moving,35,5,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Some college but no degree,Female,NA,37
110,100,459,TRUE,EN,Declining,quickly,2.701,3.759,4.515,4,Declining,5 (very confident),4.98,6.396,7.101,4,Improving,5 (very confident),3.648,4.764,5.929,3,Improving,5 (very confident),16.198,16.7,18.302,3,Declining,5 (very confident),I considered what was being represented on the X and y axis.,35,15,25,25,20,From 2000 to 2005,24,40,20,Hertinol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,40
111,100,359,TRUE,EN,Declining,quickly,5.189,5.189,6.445,1,Declining,5 (very confident),2.425,2.425,3.633,1,Improving,5 (very confident),2.716,2.716,4.902,1,Declining,5 (very confident),2.31,2.31,3.38,1,Improving,5 (very confident),following the line,35,10,25,25,20,Increase was the same in both intervals,25,40,40,Hertinol,Nopsorian,Tiosis,5,Less than high school degree,Male,NA,54
112,100,230,TRUE,EN,Declining,quickly,2.001,3.381,4.181,2,Declining,4,2.723,2.723,3.399,1,Improving,4,1.809,1.809,2.671,1,Improving,5 (very confident),5.703,6.061,10.044,2,Declining,4,Whether the graph displayed positive or negative information,35,5,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,6,Some college but no degree,Male,NA,28
113,100,344,TRUE,EN,Improving,quickly,7.232,7.232,8.067,1,Improving,5 (very confident),2.994,2.994,5.11,1,Declining,5 (very confident),2.456,9.518,10.351,2,Declining,3,7.465,7.465,8.349,1,Declining,5 (very confident),I tried to  pay attention to the graph some of them moved in a direction I'm not used to seeing. I said declining on the last one even though it increased because it was murders.,35,10,25,25,20,From 2000 to 2005,25,40,20,Hertinol,They are equal,Tiosis,5,Master's degree,Male,NA,48
114,100,355,TRUE,EN,Declining,quickly,3.056,3.056,3.578,1,Improving,5 (very confident),4.511,5.144,5.85,2,Declining,5 (very confident),3.303,3.303,3.734,1,Declining,5 (very confident),4.263,10.303,11.191,2,Improving,4,"I based my judgements off of whether the data presented was making the overall situation better. More murder is bad, more vacation days is good. ",35,15,25,25,20,Increase was the same in both intervals,25,40,20,Hertinol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Female,NA,30
115,100,699,TRUE,EN,Improving,quickly,1.456,1.456,2.16,1,Improving,4,1.601,1.601,2.298,1,Improving,3,1.569,2.233,2.977,2,Improving,3,1.089,1.089,1.786,1,Improving,4,good,50,70,50,30,20,From 2000 to 2005,30,40,60,Crosicol,Apsoriatin,Tiosis,8,Some college but no degree,Male,NA,39
116,100,675,TRUE,EN,Declining,quickly,1.265,1.265,2.269,1,Declining,5 (very confident),1.693,1.693,2.856,1,Improving,5 (very confident),5.996,5.996,6.996,1,Declining,4,1.819,1.819,3.129,1,Improving,5 (very confident),The relevance and highly practical nature.,35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,26
117,100,626,TRUE,EN,Declining,quickly ,2.493,2.493,4.133,1,Declining,5 (very confident),2.358,2.358,7.287,1,Improving,5 (very confident),2.347,3.539,4.555,2,Declining,5 (very confident),5.87,5.87,13.147,1,Improving,5 (very confident),VERY CONFIDENTLY,35,15,25,25,20,Increase was the same in both intervals,25,40,20,Crosicol,Nopsorian,Tiosis,5,Master's degree,Male,NA,36
118,100,567,TRUE,EN,Declining,quickly,3.623,3.625,5.054,2,Improving,5 (very confident),7.671,10.489,13.924,5,Improving,1 (not at all confident),6.418,6.42,7.768,2,Declining,4,8.05,8.46,9.348,4,Improving,4,I answered the first one opposite of what I meant to because the line was going up as the numbers decreased. If a negative topic was getting less I considered that an improvement.,35,10,25,10,20,Increase was the same in both intervals,25,40,20,They are equal,Nopsorian,Tiosis,5,Some college but no degree,Female,NA,42
119,100,559,TRUE,EN,Improving,quickly,6.185,6.185,7.913,1,Improving,4,5.74,5.74,9.023,1,Declining,4,4.753,4.753,8.823,1,Declining,5 (very confident),5.692,5.692,12.963,1,Improving,5 (very confident),"What the graph was about, whether there were more or less of the thing over time, Like the murders were increasing over time, so I said the situation was declining(getting worse)",35,15,25,25,20,Increase was the same in both intervals,24,40,20,They are equal,Can’t say,Tiosis,5,High school graduate (high school diploma or equivalent including GED),Male,NA,47
120,100,760,TRUE,EN,Declining,quick,3.166,23.804,25.07,3,Neither declining or improving,5 (very confident),11.529,11.529,13.583,1,Declining,5 (very confident),10.807,10.807,12.569,1,Improving,5 (very confident),11.812,11.812,14.869,1,Declining,5 (very confident),Very quick and accurate my decision as per data by year and amount of quality. ,50,9,25,25,20,From 2000 to 2005,30,40,60,They are equal,Nopsorian,Tiosis,50,Master's degree,Male,NA,40
121,100,718,TRUE,EN,Declining,quickly,1.179,1.92,2.395,2,Declining,5 (very confident),1.879,1.879,3.291,1,Improving,5 (very confident),1.406,1.406,1.878,1,Declining,5 (very confident),1.761,1.761,2.081,1,Improving,5 (very confident),I just went with my gut instinct,35,15,25,25,20,Don’t know,23,40,20,Hertinol,Nopsorian,Tiosis,5,Associate degree in college (2-year),Female,NA,34
122,100,558,TRUE,EN,Declining,quickly,0.392,11.788,12.238,3,Improving,5 (very confident),3.074,14.4,17.372,4,Declining,5 (very confident),0.251,10.618,11.389,4,Declining,5 (very confident),4.999,6.489,7.121,3,Improving,5 (very confident),"I just used the numbers. When people are receiving more vacation days in their jobs I would think that's because there are better jobs coming into the city and people's situations are improving. Obviously, when murder rates are declining things are improving in the city and when murder rates are rising things are getting worse.",35,15,25,25,20,Increase was the same in both intervals,25,40,20,They are equal,Can’t say,Tiosis,5,Bachelor's degree in college (4-year),Male,NA,33
123,100,578,TRUE,EN,Declining,quickly,2.646,2.646,3.416,1,Declining,5 (very confident),3.775,3.775,5.376,1,Improving,5 (very confident),3.186,3.186,4.227,1,Declining,5 (very confident),3.38,3.38,4.486,1,Improving,5 (very confident),"based on graph line whether it is declining or inclining, I made decision.",35,15,25,25,18,From 2000 to 2005,24,40,20,Hertinol,Nopsorian,Coliosis,5,Master's degree,Female,NA,31
